file,filter,mean,std,min,25%,50%,75%,max
PGC0002391_r.fits,r,8.902615,44.9314,-22.25067,-2.1952407360076904,2.157322883605957,7.304676055908203,1849.7473
PGC0002440_r.fits,r,5.655538,21.524427,-18.58025,-2.3954036235809326,1.1774365901947021,5.368100643157959,701.1027
PGC0002482_r.fits,r,6.0308557,81.63136,-8.630441,-0.9732139706611633,0.5237513780593872,2.212109088897705,16580.463
PGC0002501_r.fits,r,10.037315,30.3121,-15.91996,0.8171048164367676,4.097455024719238,8.827652931213379,1914.9917
PGC0002522_r.fits,r,16.052887,108.87617,-17.878664,-0.880813717842102,3.0606918334960938,8.359960556030273,4288.0464
PGC0002527_r.fits,r,5.998898,52.079872,-23.358051,-3.233948230743408,-0.026825575157999992,3.633856773376465,3421.5005
PGC0002597_r.fits,r,6.6231694,58.418232,-14.712287,-2.2301933765411377,0.2823876142501831,3.319227933883667,9076.153
PGC0002600_r.fits,r,13.533948,146.30084,-14.5230875,-0.8458686470985413,1.9692935943603516,6.32595157623291,19117.28
PGC0002615_r.fits,r,5.7390423,100.77712,-14.577602,-1.1342430114746094,1.4418984651565552,4.367186069488525,11493.072
PGC0002768_r.fits,r,6.667761,52.933224,-25.79146,-2.3056769371032715,1.2597858905792236,5.34438419342041,3945.7986
PGC0002800_r.fits,r,3.4463904,41.11326,-14.231959,-2.3267505168914795,-0.06398260593414307,2.401986837387085,3260.5066
PGC0002805_r.fits,r,0.32715842,18.41336,-7.6017923,-1.7615258693695068,-0.5777361392974854,0.7019482851028442,3785.219
PGC0002889_r.fits,r,3.1957662,100.541,-12.18317,-1.999448299407959,-0.14661434292793274,1.848595380783081,19457.896
PGC0003072_r.fits,r,4.7922792,160.42493,-14.76682,-2.482710599899292,-0.14030760526657104,2.4004814624786377,28010.945
PGC0003140_r.fits,r,6.3401914,44.2669,-20.508873,-2.28839373588562,1.4938441514968872,5.6690568923950195,1900.3391
PGC0003232_r.fits,r,0.15858003,7.44644,-23.618322,-3.7350449562072754,-0.05899563059210777,3.718111753463745,554.6508
PGC0003312_r.fits,r,7.5642877,46.972313,-21.798279,-1.1206823587417603,3.021214485168457,7.746290683746338,2975.8074
PGC0003314_r.fits,r,3.0852356,17.220747,-24.061676,-2.583150863647461,1.4601540565490723,5.824071407318115,1511.7915
PGC0003355_r.fits,r,8.61868,34.03617,-28.053709,-1.0730838775634766,3.666377544403076,9.320653915405273,1420.8607
PGC0003377_r.fits,r,5.7341475,82.40543,-6.767819,-0.8859678506851196,0.45417046546936035,2.2636022567749023,13018.908
PGC0003451_r.fits,r,34.395622,119.463036,-18.195444,4.653440475463867,10.664461135864258,26.31865692138672,3114.4275
PGC0003496_r.fits,r,2.6207066,20.729828,-15.503004,-1.9422168731689453,0.8525114059448242,3.850278377532959,2320.584
PGC0003563_r.fits,r,12.936628,117.120674,-18.764887,-2.661168336868286,1.1832937002182007,5.868499755859375,6314.76
PGC0003566_r.fits,r,3.4466255,17.55514,-20.902916,-2.306378126144409,1.195357084274292,5.279019832611084,1721.6312
PGC0003569_r.fits,r,3.089736,106.945366,-25.579481,-4.366220951080322,-0.37293151021003723,3.7305455207824707,12766.024
PGC0000218_g.fits,g,4.758018,60.350254,-4.153492,-0.6672366857528687,0.007255584001541138,1.3299198150634766,4853.787
PGC0000243_g.fits,g,6.134383,31.417023,-17.466381,-0.4118489921092987,2.82019305229187,6.6301774978637695,1992.3198
PGC0000255_g.fits,g,2.4384344,130.32097,-7.2450204,-1.310591459274292,-0.05736139044165611,1.3149312734603882,22476.822
PGC0000281_g.fits,g,31.206953,39.41155,-21.090088,6.361598968505859,18.353214263916016,44.58919906616211,319.59875
PGC0000212_g.fits,g,5.0119843,80.18164,-10.493688,-0.7668592929840088,1.1936912536621094,3.3598594665527344,7047.767
PGC0000451_g.fits,g,-0.6313039,7.486823,-19.243307,-4.043737888336182,-1.208282709121704,1.6935333013534546,391.60336
PGC0000548_g.fits,g,2.9854279,11.322792,-25.951778,-2.7319066524505615,1.4412585496902466,6.055352687835693,450.0213
PGC0000635_g.fits,g,4.4218025,14.58124,-23.493744,-1.876517415046692,2.5406432151794434,7.547471046447754,830.39374
PGC0000639_g.fits,g,4.3438945,20.724468,-16.127825,-0.9471532106399536,2.0552310943603516,5.3909831047058105,948.98114
PGC0000647_g.fits,g,3.2099948,43.285614,-6.241679,-0.7076137661933899,0.496823787689209,2.0442678928375244,7800.5107
PGC0000670_g.fits,g,-0.020712685,9.6936035,-18.869928,-3.2232248783111572,-0.5863611102104187,2.0783727169036865,828.8762
PGC0000825_g.fits,g,35.214348,393.08585,-20.92276,0.1475445032119751,5.276865005493164,12.655405044555664,18813.414
PGC0000963_g.fits,g,2.335526,135.91101,-8.040726,-1.9446818828582764,-0.6611024141311646,0.8112404346466064,19410.822
PGC0001058_g.fits,g,3.747203,41.09978,-10.246932,-0.7732543349266052,1.3159822225570679,3.9113128185272217,5463.7656
PGC0000282_g.fits,g,3.125346,21.113058,-31.104563,-3.717276096343994,0.7821543216705322,5.759006500244141,2230.9895
